codigo_ibge,lat,lon
2109007,-6.339103,-47.406733
2109056,-1.860444,-44.588092
2109106,-5.301242,-44.475258
2109205,-2.926133,-44.064253
2109239,-2.378114,-45.820711
2109270,-2.593900,-45.364600
2109304,-3.408117,-44.028822
2109403,-2.509617,-43.441403
2109452,-2.441219,-44.110503
2109502,-7.362572,-46.618211
2109551,-5.930800,-47.388700
2109601,-2.937225,-44.245114
2109700,-7.140314,-45.346025
2109759,-5.495214,-44.555556
2109809,-2.230475,-45.301475
2109908,-3.657289,-45.377794
2110005,-3.970667,-45.656558
2110039,-2.543719,-45.775331
2110104,-3.501256,-42.562942
2110203,-3.141272,-44.326158
2110237,-3.118122,-42.413244
2110278,-2.500172,-43.253886
2110302,-4.869433,-44.359017
2110401,-3.330753,-43.527108
2110500,-2.702739,-44.823300
2110609,-3.362000,-42.421200
2110658,-6.812500,-44.644400
2110708,-5.578536,-44.384700
2110807,-7.083650,-44.812814
2110856,-5.125300,-47.389600
2110906,-6.251039,-42.857117
2111003,-2.959914,-44.795542
2111029,-3.554658,-46.258292
2111052,-6.467300,-47.054400
2111078,-5.114100,-43.810200
2111102,-6.498700,-43.701900
2111201,-2.563211,-44.055731
2111250,-5.052900,-44.586100
2111300,-2.527394,-44.306092
2111409,-4.377189,-44.673478
2111508,-4.039422,-44.470047
2111532,-5.083294,-48.429928
2111573,-6.822811,-46.532267
2111607,-7.019978,-45.478458
2111631,-5.104658,-45.089339
2111672,-5.017042,-44.993253
2111706,-2.889361,-44.878306
2111722,-4.040358,-45.236217
2111748,-5.260922,-44.055942
2111763,-5.436492,-47.298486
2111789,-1.852947,-45.113672
2111805,-5.877256,-46.700736
2111904,-6.478569,-44.191697
2111953,-6.411400,-43.546300
2112001,-8.474478,-45.744294
2112100,-4.255317,-43.939106
2112209,-5.098678,-42.824567
2112233,-4.569283,-44.627706
2112274,-3.671622,-45.635653
2112308,-5.257675,-44.647500
2112407,-1.671875,-45.370931
2112456,-2.223742,-45.308969
2112506,-2.763219,-42.274219
2112605,-3.208200,-43.405028
2112704,-3.542200,-43.917628
2112803,-3.218372,-45.002725
2112852,-5.185600,-48.136100
2112902,-3.465800,-44.872386
2113009,-4.293731,-45.246200
2114007,-3.270283,-45.652328
2200053,-8.214700,-41.083300
2200103,-5.796800,-42.661900
2200202,-5.892700,-42.636400
2200251,-7.010042,-40.938533
2200277,-7.243400,-40.860600
2200301,-5.252500,-42.210300
2200400,-5.039600,-42.459800
2200459,-8.443200,-43.864900
2200509,-6.244800,-42.852900
2200608,-6.083100,-42.734500
2200707,-9.188100,-43.046100
2200806,-7.219900,-44.197600
2200905,-6.111200,-41.788700
2200954,-7.279700,-41.563400
2201002,-6.654300,-42.534000
2201051,-5.865200,-41.048500
2201101,-10.140510,-43.946125
2201150,-7.858300,-45.212700
2201176,-6.519173,-42.106876
2201200,-4.246800,-42.295600
2201309,-9.924200,-45.478500
2201408,-5.819800,-42.509800
2201507,-4.023900,-42.076200
2201556,-7.973100,-41.870900
2201572,-7.378900,-40.972100
2201606,-5.455962,-42.359685
2201705,-7.637900,-43.955100
2201739,-8.146200,-40.797100
2201770,-4.409514,-42.124589
2201804,-6.945800,-41.321700
2201903,-9.072300,-44.359800
2201919,-3.189100,-41.637800
2201929,-9.166400,-42.872700
2201945,-4.487100,-42.117300
2201960,-4.133300,-41.781000
2201988,-8.206900,-42.834000
2202000,-3.173200,-41.871500
2202026,-5.312000,-41.098100
2202059,-4.473300,-42.309600
2202075,-6.798100,-42.391200
2202083,-2.930300,-41.342000
2202091,-7.333902,-40.637665
2202109,-7.660300,-41.880900
2202117,-8.376892,-41.836217
2202133,-7.134332,-41.038934
2202174,-3.811800,-42.630000
2202208,-4.825500,-42.166900
2202251,-7.691500,-43.719400
2202307,-8.110900,-42.944300
2202406,-4.457900,-41.943000
2202455,-8.497707,-41.816910
2202505,-9.280100,-43.328400
2202539,-3.476000,-41.843900
2202554,-7.732798,-40.989086
2202604,-5.322200,-41.549000
2202653,-3.422583,-41.891285
2202703,-3.470200,-41.557000
2202711,-4.554700,-41.967800
2202729,-3.602000,-41.443200
2202737,-5.090300,-42.205300
2202752,-8.181400,-43.793900
2202778,-7.228500,-42.182800
2202802,-7.878100,-41.595800
2202851,-8.826200,-42.480200
2202901,-10.435400,-45.178600
2203008,-10.650944,-45.183292
2203107,-8.819200,-44.223900
2203206,-10.035500,-44.303300
2203230,-9.015658,-44.399558
2203255,-5.619000,-42.828600
2203271,-7.833300,-40.901800
2203305,-5.352800,-42.678100
2203354,-9.341300,-42.437000
2203404,-6.959100,-41.645500
2203420,-4.253000,-41.270700
2203453,-9.001100,-41.973500
2203503,-6.206000,-42.135100
2203602,-8.098300,-43.664200
2203701,-3.897900,-42.236000
2203750,-9.484000,-42.792900
2203800,-7.794900,-42.925100
2203859,-7.466800,-41.798100
2203909,-6.774200,-43.021100
2204006,-6.397434,-42.264157
2204105,-6.623300,-42.692800
2204154,-7.328500,-40.791100
2204204,-6.994000,-41.137700
2204303,-7.087400,-40.616700
2204352,-7.157100,-41.362800
2204402,-9.833700,-45.343300
2204501,-6.785900,-43.569300
2204550,-9.394700,-43.686900
2204600,-5.989400,-42.558100
2204659,-2.851772,-41.817883
2204709,-6.671200,-41.708100
2204808,-6.823000,-41.738100
2204907,-7.735800,-41.677100
2205003,-7.449200,-41.479000
2205102,-7.603400,-43.025600
2205151,-7.935800,-41.211100
2205201,-7.356300,-41.138700
2205250,-6.095200,-42.636300
2205276,-4.770480,-41.819110
2205300,-7.087800,-43.508800
2205359,-8.489800,-42.418500
2205409,-3.508900,-42.194200
2205458,-3.497600,-42.431900
2205508,-4.757700,-42.576500
2205516,-5.171300,-41.705800
2205524,-10.329000,-44.237600
2205532,-9.221300,-43.128800
2205540,-5.829800,-42.632500
2205557,-4.515800,-42.623800
2205565,-8.481500,-41.530700
2205573,-4.390500,-41.601000
2205581,-5.414600,-42.643000
2205599,-6.516100,-41.568500
2205607,-7.266889,-43.929828
2205706,-2.881500,-41.665900
2205805,-3.459800,-42.372400
2205854,-3.483200,-42.498800
2205904,-8.013100,-43.871300
2205953,-7.444581,-40.662226
2206001,-7.117600,-43.892400
2206050,-7.464100,-41.125700
2206100,-3.715500,-42.554500
2206209,-4.166000,-42.894700
2206308,-5.680700,-42.738400
2206357,-4.702200,-41.448500
2206407,-5.562000,-42.610900
2206506,-6.998656,-41.030964
2206605,-9.750500,-45.305000
2206654,-9.727900,-43.907200
2206670,-3.744515,-42.311368
2206696,-3.322900,-42.090200
2206704,-6.974500,-42.672300
2206720,-5.350189,-42.820097
2206753,-4.633600,-42.171600
2206803,-3.979400,-42.621800
2206902,-6.451100,-41.927200
2206951,-5.288100,-41.934700
2207009,-7.016900,-42.131700
2207108,-5.847400,-42.574300
2207207,-7.355200,-40.907000
2207306,-7.778100,-42.254800
2207355,-7.855900,-42.822000
2207405,-8.724900,-44.236200
2207504,-5.977500,-43.060800
2207553,-7.101100,-41.702300
2207603,-10.226100,-44.640200
2207702,-2.916900,-41.756700
2207751,-5.857000,-42.442200
2207777,-7.679300,-41.242500
2207793,-5.253400,-42.388400
2207801,-8.140900,-41.148100
2207850,-7.966700,-43.223900
2207900,-4.425800,-41.458900
2207934,-8.067800,-42.288800
2207959,-8.075000,-42.048300
2208007,-7.085000,-41.465700
2208106,-6.238700,-41.420000
2208205,-6.836100,-40.614900
2208304,-3.934700,-41.710500
2208403,-4.274400,-41.777300
2208502,-3.894000,-42.710000
2208551,-6.970400,-44.199200
2208601,-5.666500,-42.204900
2208650,-8.582200,-41.418000
2208700,-9.487500,-44.584300
2208809,-6.238300,-42.689200
2208858,-10.125900,-44.952200
2208874,-7.691600,-42.711800
2208908,-7.559500,-45.242400
2209005,-7.778000,-43.138400
2209104,-7.184000,-41.765700
2209153,-5.799700,-41.955500
2209203,-9.109900,-45.922800
